seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_pca_fit_s,t_pca_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.279289,45,50,0.618913,0.494266,0.493626,0.511628,0.475624,0.511628,0.0025,0.0353,0.0009,0.0,0.0362,0.0003,0.0006,0.0013,0.5445,182.7668,3.6184,3.4612,5.1337,1.7765,0.0355,0.0165,0.001856,0.0009,183.3749,0.0,0.0
43,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.276305,35,50,0.596121,0.53555,0.534884,0.552486,0.517282,0.552486,0.0031,0.0311,0.0007,0.0,0.0318,0.0003,0.0002,0.0004,0.0173,193.2279,3.825,3.4701,6.8829,1.9112,0.0382,0.0299,0.002838,0.0003,193.3159,0.0,0.0
44,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.276053,11,26,0.596931,0.534404,0.533518,0.553846,0.513189,0.553846,0.0028,0.0447,0.0012,0.0,0.0459,0.0004,0.0002,0.0005,0.0237,96.8232,3.6872,3.4316,4.4683,0.9202,0.0354,0.0166,0.001847,0.0003,96.9174,0.0,0.0
45,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.277008,31,46,0.632173,0.542431,0.541417,0.562979,0.519856,0.562979,0.0029,0.0293,0.0006,0.0,0.0299,0.0003,0.0002,0.0004,0.0194,159.8152,3.4398,3.3707,3.5892,1.5281,0.0332,0.0166,0.001802,0.0004,159.8889,0.0,0.0
46,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.278878,31,46,0.606708,0.537844,0.532755,0.581516,0.483995,0.581516,0.0026,0.0274,0.0007,0.0,0.0281,0.0003,0.0002,0.0004,0.0171,158.0226,3.4004,3.3486,3.7755,1.5457,0.0336,0.0164,0.001745,0.0003,158.0915,0.0,0.0
42,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.404989,11,26,0.639172,0.538991,0.536798,0.56867,0.504926,0.56867,0.003,0.0292,0.0008,0.0,0.0299,0.0008,0.0002,0.0004,0.0214,110.889,4.2208,4.1798,4.3939,1.1139,0.0428,0.0207,0.001815,0.0002,110.9693,0.0,0.0
43,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.402062,37,50,0.647685,0.559633,0.558404,0.581699,0.535109,0.581699,0.0027,0.0278,0.0007,0.0,0.0285,0.0004,0.0002,0.0004,0.0213,213.4435,4.2247,4.1877,4.3995,2.1442,0.0429,0.0201,0.001765,0.0003,213.5209,0.0,0.0
44,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.401606,12,27,0.616098,0.525229,0.525027,0.534831,0.515222,0.534831,0.0025,0.0282,0.0006,0.0,0.0288,0.0004,0.0002,0.0004,0.0207,115.3356,4.2274,4.1899,4.3595,1.1617,0.043,0.0202,0.001768,0.0002,115.4128,0.0,0.0
45,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.403036,32,47,0.631985,0.581422,0.578468,0.613757,0.543179,0.613757,0.0025,0.0283,0.0006,0.0,0.0289,0.0004,0.0002,0.0004,0.0212,200.5641,4.2198,4.1857,4.362,2.1722,0.0462,0.0204,0.001859,0.0003,200.6419,0.0,0.0
46,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.404871,41,50,0.605957,0.581422,0.580959,0.594895,0.567023,0.594895,0.0025,0.0302,0.0008,0.0,0.031,0.0004,0.0002,0.0005,0.0214,214.0531,4.2369,4.1888,4.8103,2.1435,0.0429,0.0203,0.001812,0.0002,214.1331,0.0,0.0
