seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.129597,9,24,0.781587,0.736239,0.736226,0.738041,0.734411,0.738041,0.0027,0.1359,0.0007,0.0,0.1367,0.0035,0.0006,0.0013,0.5313,87.9087,3.6266,3.4324,3.9518,0.8373,0.0349,0.017,0.002039,0.0013,88.6087,0.0,0.0
43,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.127326,12,27,0.748828,0.745413,0.745304,0.740047,0.750562,0.740047,0.0034,0.1386,0.0011,0.0,0.1398,0.0005,0.0003,0.0005,0.0229,101.6317,3.7267,3.4743,4.7283,0.974,0.0361,0.0196,0.001884,0.0003,101.823,0.0,0.0
44,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.127371,4,19,0.755271,0.735092,0.734712,0.744751,0.724672,0.744751,0.0029,0.1537,0.001,0.0,0.1548,0.0005,0.0002,0.0005,0.024,72.9035,3.7992,3.7306,3.9588,0.693,0.0365,0.0175,0.001948,0.0003,73.1083,0.0,0.0
45,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.127546,27,42,0.7343,0.739679,0.739157,0.727491,0.750823,0.727491,0.0032,0.1582,0.001,0.0,0.1593,0.0005,0.0002,0.0004,0.0223,146.3768,3.4506,3.3127,4.2122,1.3998,0.0333,0.0163,0.001778,0.0004,146.5835,0.0,0.0
46,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.130074,18,33,0.76069,0.744266,0.743942,0.734839,0.753045,0.734839,0.0031,0.1234,0.0007,0.0,0.1241,0.0004,0.0002,0.0005,0.0179,111.4936,3.3446,3.3144,3.4828,1.0814,0.0328,0.0163,0.001795,0.0004,111.66,0.0,0.0
42,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.15608,15,30,0.783379,0.730505,0.730487,0.732651,0.728324,0.732651,0.0028,0.1291,0.001,0.0,0.1302,0.0008,0.0002,0.0004,0.0239,127.1381,4.1942,4.1461,4.4782,1.2736,0.0425,0.0204,0.001977,0.0003,127.3207,0.0,0.0
43,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.153104,26,41,0.751104,0.747706,0.747366,0.738095,0.756637,0.738095,0.0028,0.1538,0.0009,0.0,0.1547,0.0005,0.0002,0.0004,0.0285,173.5836,4.1901,4.1441,4.3462,1.7386,0.0424,0.0207,0.001767,0.0002,173.7956,0.0,0.0
44,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.153787,4,19,0.755867,0.736239,0.736189,0.739819,0.732558,0.739819,0.0025,0.1285,0.0009,0.0,0.1294,0.0005,0.0002,0.0004,0.0246,80.2739,4.1814,4.1428,4.3417,0.8031,0.0423,0.0201,0.001753,0.0002,80.4554,0.0,0.0
45,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.154546,23,38,0.738556,0.733945,0.73367,0.742222,0.725118,0.742222,0.0024,0.1267,0.0009,0.0,0.1277,0.0005,0.0002,0.0004,0.0249,161.1109,4.1959,4.1363,4.3445,1.6187,0.0426,0.0205,0.001766,0.0002,161.2911,0.0,0.0
46,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.156253,25,40,0.756591,0.740826,0.739901,0.72439,0.755411,0.72439,0.0023,0.1273,0.0008,0.0,0.1282,0.0006,0.0002,0.0004,0.0245,169.9195,4.2041,4.168,4.3335,1.7084,0.0427,0.0204,0.001766,0.0002,170.0999,0.0,0.0
