seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_pca_fit_s,t_pca_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.299082,45,50,0.673135,0.659404,0.659303,0.665163,0.653442,0.665163,0.0037,0.0211,0.001,0.0,0.0221,0.0032,0.0006,0.0013,0.5388,174.5351,3.4554,3.4171,3.6112,1.7007,0.034,0.0167,0.001867,0.0026,175.1294,0.0,0.0
43,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.296369,37,50,0.686859,0.65711,0.655074,0.681576,0.628571,0.681576,0.0046,0.0207,0.001,0.0,0.0217,0.0005,0.0002,0.0004,0.0216,198.3347,3.9268,3.4213,5.1823,1.9263,0.0385,0.017,0.001828,0.0004,198.4051,0.0,0.0
44,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.296975,38,50,0.663403,0.658257,0.656842,0.678879,0.634804,0.678879,0.0046,0.1506,0.0009,0.0,0.1515,0.0005,0.0002,0.0004,0.0188,182.5932,3.6157,3.499,4.0387,1.7422,0.0348,0.0163,0.001782,0.0005,182.7898,0.0,0.0
45,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.297782,22,37,0.672594,0.639908,0.639423,0.652655,0.62619,0.652655,0.0047,0.1172,0.0011,0.0,0.1183,0.0005,0.0002,0.0004,0.022,133.6373,3.5759,3.5103,3.7216,1.2797,0.0346,0.0164,0.001781,0.0005,133.804,0.0,0.0
46,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.300194,39,50,0.644995,0.68578,0.685407,0.696231,0.674584,0.696231,0.0044,0.0218,0.0009,0.0,0.0227,0.0005,0.0003,0.0005,0.0223,182.0107,3.6042,3.4833,3.8408,1.737,0.0347,0.017,0.001794,0.0005,182.0827,0.0,0.0
42,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.426576,31,46,0.665862,0.622706,0.622563,0.629921,0.615205,0.629921,0.0042,0.1642,0.0011,0.0,0.1654,0.0008,0.0003,0.0005,0.0272,200.9668,4.3235,4.2336,4.7084,2.0233,0.044,0.0208,0.001776,0.0004,201.1901,0.0,0.0
43,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.423896,42,50,0.691204,0.65711,0.655424,0.679528,0.631319,0.679528,0.004,0.0286,0.0009,0.0,0.0295,0.0005,0.0002,0.0004,0.0239,215.9145,4.27,4.24,4.4287,2.346,0.0469,0.021,0.001829,0.0004,215.998,0.0,0.0
44,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.424074,14,29,0.679839,0.669725,0.668882,0.68559,0.652174,0.68559,0.0039,0.0294,0.001,0.0,0.0305,0.0005,0.0002,0.0004,0.025,126.4226,4.3131,4.2346,4.8573,1.304,0.045,0.025,0.002399,0.0004,126.5126,0.0,0.0
45,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.424717,19,34,0.647258,0.651376,0.650034,0.671706,0.628362,0.671706,0.0036,0.0349,0.0012,0.0,0.0362,0.0006,0.0002,0.0005,0.0278,164.8416,4.7986,4.3437,5.5095,1.6406,0.0483,0.0232,0.001825,0.0004,164.9379,0.0,0.0
46,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.428226,29,44,0.658128,0.693807,0.693514,0.703003,0.684024,0.703003,0.0036,0.0332,0.0012,0.0,0.0344,0.0005,0.0002,0.0004,0.0265,198.7861,4.4713,4.2674,4.972,1.9889,0.0452,0.0211,0.001879,0.0004,198.8773,0.0,0.0
42,6,64,6,782,108,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.581839,26,41,0.689485,0.670872,0.670819,0.674972,0.666667,0.674972,0.0045,0.0566,0.0011,0.0,0.0577,0.0007,0.0002,0.0004,0.03,226.2309,5.4584,5.1213,6.1523,2.3791,0.058,0.0252,0.00186,0.0005,226.3539,0.0,0.0
