seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.142625,5,20,0.865341,0.858945,0.858943,0.858458,0.859429,0.858458,0.0036,0.4049,0.0013,0.0,0.4062,0.0036,0.0006,0.0015,0.5332,74.2803,3.6772,3.4732,4.172,0.711,0.0356,0.0181,0.00216,0.0028,75.2558,0.0,0.0
43,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.141356,5,20,0.850318,0.860092,0.859967,0.864143,0.855792,0.864143,0.0049,0.391,0.0013,0.0,0.3924,0.0005,0.0002,0.0004,0.0212,75.2479,3.7241,3.5674,4.5866,0.7396,0.037,0.0177,0.001811,0.0005,75.6897,0.0,0.0
44,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.142037,7,22,0.83804,0.860092,0.860045,0.857477,0.862613,0.857477,0.0045,0.3719,0.0015,0.0,0.3735,0.0007,0.0002,0.0004,0.0204,80.1574,3.6071,3.5489,3.8736,0.7732,0.0351,0.0171,0.001774,0.0004,80.5784,0.0,0.0
45,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.14271,6,21,0.837274,0.858945,0.858903,0.86133,0.856476,0.86133,0.0046,0.3689,0.0014,0.0,0.3705,0.0005,0.0002,0.0004,0.0203,78.6071,3.7049,3.5523,4.0284,0.7746,0.0369,0.0197,0.001919,0.0004,79.0276,0.0,0.0
46,4,16,6,554,72,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.144535,8,23,0.849965,0.861239,0.860799,0.868621,0.852977,0.868621,0.0046,0.5425,0.0014,0.0,0.5441,0.0005,0.0002,0.0004,0.0225,80.8544,3.4792,3.375,4.1463,0.804,0.035,0.0168,0.00176,0.0005,81.4481,0.0,0.0
42,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.171346,9,24,0.867903,0.864679,0.864678,0.864368,0.864989,0.864368,0.0045,0.3945,0.0014,0.0,0.396,0.0009,0.0002,0.0004,0.0256,106.0622,4.3731,4.1687,6.095,1.0782,0.0449,0.0205,0.001743,0.0004,106.5147,0.0,0.0
43,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.170592,14,29,0.856788,0.87156,0.871505,0.874157,0.868852,0.874157,0.0043,0.4007,0.0015,0.0,0.4023,0.0007,0.0002,0.0004,0.0253,129.4845,4.4189,4.2411,4.7671,1.3002,0.0448,0.0213,0.001787,0.0004,129.9433,0.0,0.0
44,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.170696,16,31,0.838384,0.858945,0.858863,0.855464,0.862262,0.855464,0.0048,0.3869,0.0015,0.0,0.3885,0.0008,0.0002,0.0005,0.034,138.8167,4.432,4.2351,5.1308,1.3836,0.0446,0.0206,0.0018,0.0004,139.2705,0.0,0.0
45,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.172307,17,32,0.845359,0.857798,0.857723,0.860987,0.85446,0.860987,0.0044,0.5463,0.0016,0.0,0.5481,0.0007,0.0002,0.0004,0.0283,145.9512,4.5139,4.2082,4.9028,1.4674,0.0459,0.0236,0.001809,0.0004,146.5612,0.0,0.0
46,5,32,6,668,90,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,word2ket,1,sbert+word2ket,weighted_ce,adam,cosine,sst2,5000,0.17413,8,23,0.855054,0.862385,0.861967,0.869565,0.854369,0.869565,0.0044,0.4426,0.0018,0.0,0.4446,0.0008,0.0002,0.0004,0.0259,113.1334,4.8677,4.7341,5.1361,1.1467,0.0499,0.0246,0.002025,0.0005,113.639,0.0,0.0
