seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.11824,38,50,0.765546,0.728211,0.725084,0.695764,0.754404,0.695764,0.0041,0.0333,0.0005,0.0,0.0342,0.0003,0.0005,0.0014,0.5512,175.9307,3.4834,3.4412,3.798,1.6952,0.0339,0.0175,0.002042,0.001,176.5481,0.0,0.0
43,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.115752,32,47,0.762056,0.730505,0.729651,0.714459,0.744843,0.714459,0.003,0.0307,0.0006,0.0,0.0315,0.0003,0.0002,0.0004,0.0186,164.1459,3.4576,3.4222,3.6413,1.577,0.0336,0.0173,0.00182,0.0003,164.2223,0.0,0.0
44,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.116053,35,50,0.754582,0.733945,0.732843,0.715686,0.75,0.715686,0.0029,0.0279,0.0007,0.0,0.0289,0.0003,0.0002,0.0004,0.0186,175.5071,3.4752,3.4261,3.8163,1.6811,0.0336,0.0178,0.001792,0.0,175.5805,0.0,0.0
45,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.116609,40,50,0.745411,0.740826,0.739971,0.725061,0.754881,0.725061,0.0029,0.0285,0.0004,0.0,0.0292,0.0003,0.0002,0.0004,0.0176,173.8815,3.4428,3.41,3.6017,1.679,0.0336,0.0171,0.001803,0.0,173.9538,0.0,0.0
46,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.118766,20,35,0.756823,0.727064,0.725394,0.70398,0.746809,0.70398,0.0027,0.0273,0.0006,0.0,0.0281,0.0004,0.0002,0.0005,0.0177,121.6991,3.4422,3.4085,3.5875,1.1738,0.0335,0.0174,0.001823,0.0003,121.7706,0.0,0.0
42,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.13674,11,26,0.765885,0.715596,0.71487,0.700483,0.729258,0.700483,0.0027,0.0278,0.0006,0.0,0.0287,0.0004,0.0002,0.0005,0.0225,109.2015,4.1542,4.1258,4.3127,1.1576,0.0445,0.0214,0.001801,0.0003,109.2824,0.0,0.0
43,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.134581,14,29,0.749035,0.704128,0.703373,0.688406,0.718341,0.688406,0.0025,0.0275,0.0006,0.0,0.0284,0.0003,0.0002,0.0004,0.0219,121.6882,4.1503,4.1214,4.2964,1.293,0.0446,0.0209,0.002064,0.0003,121.7681,0.0,0.0
44,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.13472,9,24,0.737877,0.699541,0.698843,0.684337,0.713348,0.684337,0.0027,0.0279,0.0008,0.0,0.029,0.0003,0.0002,0.0004,0.0229,100.8105,4.1547,4.1137,4.2888,1.0663,0.0444,0.0219,0.001826,0.0003,100.8926,0.0,0.0
45,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.135219,28,43,0.74758,0.709862,0.709017,0.693333,0.724701,0.693333,0.0022,0.0276,0.0005,0.0,0.0284,0.0003,0.0002,0.0004,0.0219,180.7371,4.1575,4.1206,4.3123,1.9076,0.0444,0.0208,0.001853,0.0003,180.8158,0.0,0.0
46,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.137016,27,42,0.748535,0.712156,0.71074,0.690506,0.730975,0.690506,0.0025,0.0295,0.0007,0.0,0.0305,0.0003,0.0002,0.0004,0.022,176.1637,4.1486,4.1247,4.3174,1.8677,0.0445,0.0207,0.001786,0.0002,176.2448,0.0,0.0
