seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.11824,9,24,0.782873,0.738532,0.738532,0.738532,0.738532,0.738532,0.0024,0.1305,0.0006,0.0,0.1312,0.0003,0.0002,0.0004,0.0184,88.0966,3.6347,3.6007,3.7844,0.8351,0.0348,0.0173,0.001731,0.0003,88.2705,0.0,0.0
43,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.115752,40,50,0.749738,0.747706,0.747482,0.739953,0.755011,0.739953,0.0023,0.118,0.0006,0.0,0.1186,0.0003,0.0002,0.0004,0.0179,182.8438,3.6209,3.5915,3.7821,1.7345,0.0347,0.0173,0.001801,0.0,183.0044,0.0,0.0
44,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.116053,5,20,0.757515,0.737385,0.737385,0.737084,0.737686,0.737084,0.0022,0.1178,0.0006,0.0,0.1185,0.0003,0.0002,0.0004,0.0181,73.1568,3.622,3.589,3.7756,0.692,0.0346,0.0171,0.00178,0.0002,73.3175,0.0,0.0
45,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.11661,18,33,0.739828,0.739679,0.739651,0.742338,0.736964,0.742338,0.0022,0.119,0.0006,0.0,0.1197,0.0003,0.0002,0.0004,0.0178,120.647,3.6201,3.5909,3.7638,1.1435,0.0347,0.0175,0.001776,0.0002,120.809,0.0,0.0
46,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.118766,17,32,0.757637,0.743119,0.742773,0.733333,0.752212,0.733333,0.0023,0.1192,0.0006,0.0,0.1198,0.0003,0.0002,0.0004,0.0176,117.0093,3.6205,3.5965,3.799,1.1131,0.0348,0.0175,0.001776,0.0002,117.1712,0.0,0.0
42,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.13674,4,19,0.785802,0.722477,0.72223,0.730512,0.713948,0.730512,0.0023,0.1173,0.0006,0.0,0.118,0.0003,0.0002,0.0004,0.0225,84.8906,4.4206,4.3233,5.0362,0.8752,0.0461,0.0218,0.001764,0.0003,85.0598,0.0,0.0
43,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.134582,8,23,0.748921,0.745413,0.745279,0.739437,0.751121,0.739437,0.0023,0.121,0.0006,0.0,0.1216,0.0003,0.0002,0.0004,0.0227,101.0049,4.3444,4.3203,4.508,1.0554,0.0459,0.0212,0.001763,0.0002,101.1774,0.0,0.0
44,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.13472,5,20,0.757102,0.732798,0.732578,0.740245,0.724911,0.740245,0.0023,0.1184,0.0006,0.0,0.1191,0.0003,0.0002,0.0004,0.0221,87.7048,4.3381,4.3141,4.4868,0.9173,0.0459,0.0211,0.001805,0.0003,87.8742,0.0,0.0
45,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.135219,6,21,0.734869,0.728211,0.727867,0.737542,0.718193,0.737542,0.0022,0.119,0.0006,0.0,0.1197,0.0003,0.0002,0.0004,0.0224,92.4899,4.3572,4.315,4.6501,0.9637,0.0459,0.021,0.001762,0.0002,92.6599,0.0,0.0
46,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.137016,14,29,0.755483,0.748853,0.748183,0.735187,0.761178,0.735187,0.0023,0.1189,0.0006,0.0,0.1196,0.0003,0.0002,0.0004,0.0224,127.3999,4.3458,4.312,4.5,1.3339,0.046,0.021,0.001792,0.0003,127.5702,0.0,0.0
