seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.12815,13,28,0.858157,0.858945,0.85894,0.858131,0.859749,0.858131,0.0039,0.0208,0.0012,0.0,0.0228,0.0003,0.0005,0.0012,0.6192,107.4049,3.797,3.5499,4.927,1.0509,0.0375,0.0199,0.00184,0.0029,108.0804,0.0,0.0
43,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.1272,10,25,0.851465,0.864679,0.864672,0.863741,0.865604,0.863741,0.0048,0.0167,0.0012,0.0,0.0182,0.0004,0.0003,0.0007,0.0205,95.3548,3.7771,3.5232,4.9425,0.8962,0.0358,0.0178,0.001845,0.0003,95.4215,0.0,0.0
44,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.127307,24,39,0.835552,0.864679,0.864661,0.866213,0.863109,0.866213,0.0044,0.0171,0.001,0.0,0.0185,0.0007,0.0002,0.0005,0.0187,141.2833,3.5871,3.4863,4.6313,1.3401,0.0344,0.0172,0.001732,0.0003,141.3475,0.0,0.0
45,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.128767,17,32,0.84053,0.849771,0.849766,0.848904,0.850627,0.848904,0.0043,0.0147,0.0008,0.0,0.0158,0.0002,0.0002,0.0004,0.0177,113.2556,3.5039,3.4737,3.6379,1.0899,0.0341,0.0171,0.001728,0.0003,113.3151,0.0,0.0
46,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.129962,17,32,0.845008,0.865826,0.865786,0.863477,0.868095,0.863477,0.0045,0.0145,0.0009,0.0,0.0156,0.0003,0.0002,0.0004,0.0174,113.8701,3.523,3.4775,3.8095,1.0949,0.0342,0.0173,0.001734,0.0004,113.9296,0.0,0.0
42,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.148202,29,44,0.855526,0.860092,0.860092,0.860092,0.860092,0.860092,0.0043,0.015,0.0009,0.0,0.0162,0.0003,0.0002,0.0004,0.0224,187.8036,4.2219,4.1768,4.3845,1.9876,0.0452,0.0208,0.001716,0.0004,187.8721,0.0,0.0
43,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.147459,9,24,0.855119,0.849771,0.849726,0.852311,0.847141,0.852311,0.0043,0.0153,0.0007,0.0,0.0164,0.0003,0.0002,0.0004,0.0219,101.969,4.2024,4.1804,4.3328,1.0817,0.0451,0.0211,0.001796,0.0004,102.0374,0.0,0.0
44,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.147114,23,38,0.821027,0.857798,0.857797,0.858124,0.857471,0.858124,0.0042,0.0152,0.0009,0.0,0.0165,0.0003,0.0002,0.0004,0.0222,161.5294,4.2045,4.1751,4.4707,1.7138,0.0451,0.021,0.001752,0.0003,161.5979,0.0,0.0
45,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.148215,10,25,0.832876,0.855505,0.855443,0.858427,0.852459,0.858427,0.0039,0.0146,0.0008,0.0,0.0158,0.0003,0.0002,0.0004,0.0221,106.6988,4.2216,4.1773,4.3662,1.1262,0.045,0.0211,0.001736,0.0004,106.7663,0.0,0.0
46,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.150544,20,35,0.838808,0.84289,0.84288,0.841618,0.844141,0.841618,0.0035,0.015,0.001,0.0,0.0162,0.0003,0.0002,0.0004,0.0218,148.7503,4.2037,4.174,4.3525,1.5781,0.0451,0.0213,0.001866,0.0004,148.8177,0.0,0.0
42,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.166232,9,24,0.853125,0.84289,0.842781,0.846927,0.838634,0.846927,0.0045,0.0145,0.0009,0.0,0.0158,0.0003,0.0002,0.0004,0.0265,128.3891,5.2795,5.0252,6.055,1.6506,0.0688,0.0271,0.00185,0.0004,128.4678,0.0,0.0
43,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,pca,0,sbert+pca+angle_X,weighted_ce,adam,cosine,sst2,5000,0.165019,27,42,0.845105,0.827982,0.827959,0.825986,0.829932,0.825986,0.0044,0.0213,0.0012,0.0,0.0231,0.0003,0.0003,0.0005,0.0277,229.582,5.3942,5.2021,6.1416,2.9695,0.0707,0.0253,0.001816,0.0006,229.6679,0.0,0.0
