seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.128152,5,20,0.864298,0.862385,0.862374,0.861111,0.863636,0.861111,0.005,0.3734,0.0011,0.0,0.3748,0.0004,0.0006,0.0018,0.5613,70.2072,3.4755,3.4394,3.7951,0.6722,0.0336,0.0172,0.001961,0.0025,71.1781,0.0,0.0
43,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.127204,4,19,0.852525,0.861239,0.861208,0.863277,0.859139,0.863277,0.0036,0.326,0.0013,0.0,0.3275,0.0003,0.0002,0.0004,0.0179,66.3518,3.4572,3.4277,3.6237,0.6412,0.0337,0.0171,0.001837,0.0003,66.7237,0.0,0.0
44,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.127307,12,27,0.835699,0.855505,0.855429,0.852113,0.858744,0.852113,0.0038,0.3366,0.001,0.0,0.3377,0.0003,0.0002,0.0004,0.0182,94.4095,3.4616,3.4278,3.622,0.9119,0.0338,0.0172,0.001869,0.0004,94.7923,0.0,0.0
45,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.128769,24,39,0.834276,0.860092,0.860032,0.862921,0.857143,0.862921,0.0045,0.3524,0.0009,0.0,0.3535,0.0004,0.0002,0.0005,0.0174,136.1793,3.4569,3.4347,3.6279,1.3114,0.0336,0.0172,0.001845,0.0004,136.5779,0.0,0.0
46,4,4,6,554,72,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.12997,10,25,0.850639,0.862385,0.86215,0.867841,0.856459,0.867841,0.0044,0.327,0.0009,0.0,0.3281,0.0004,0.0002,0.0005,0.0174,87.1217,3.4498,3.426,3.5946,0.8443,0.0338,0.0168,0.001809,0.0004,87.4945,0.0,0.0
42,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.148204,5,20,0.870984,0.861239,0.861238,0.861397,0.861079,0.861397,0.0043,0.3645,0.001,0.0,0.3656,0.0003,0.0002,0.0004,0.0219,83.9625,4.1523,4.1257,4.3178,0.8915,0.0446,0.0216,0.001865,0.0004,84.3817,0.0,0.0
43,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.147459,13,28,0.856324,0.87156,0.871427,0.875556,0.867299,0.875556,0.0042,0.3259,0.001,0.0,0.3271,0.0003,0.0002,0.0004,0.0218,117.4552,4.149,4.1224,4.2993,1.2474,0.0446,0.021,0.001834,0.0004,117.8348,0.0,0.0
44,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.147116,7,22,0.834815,0.862385,0.862382,0.861751,0.863014,0.861751,0.004,0.3235,0.001,0.0,0.3247,0.0003,0.0002,0.0004,0.0223,92.1916,4.1446,4.1222,4.3117,0.9823,0.0446,0.0212,0.001836,0.0004,92.5696,0.0,0.0
45,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.148215,33,48,0.841041,0.860092,0.859947,0.864444,0.85545,0.864444,0.0039,0.3391,0.001,0.0,0.3402,0.0005,0.0002,0.0006,0.0246,201.6991,4.1563,4.1287,4.341,2.1359,0.0445,0.0215,0.001932,0.0004,202.0957,0.0,0.0
46,5,5,6,668,90,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-mpnet-base-v2,768,cuda,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.150547,8,23,0.856322,0.862385,0.862001,0.869281,0.854722,0.869281,0.0036,0.3192,0.001,0.0,0.3204,0.0003,0.0002,0.0004,0.0226,96.7727,4.1617,4.1267,4.456,1.0225,0.0445,0.0223,0.001963,0.0004,97.1474,0.0,0.0
